"place_id","rating","language","text","relative_time_description","time"
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","J'ai connu ce garage car nous devions refaire nos cartes grises (2 voitures). Lors de mes premiers contacts téléphoniques, très bon accueil, professionnelle, et précise, en prenant le temps de bien m'expliquer (concernant les renseignements et les différents documents à apporter pour les changements de carte grises). Ensuite, lorsque je me suis déplacée pour déposer les documents, j'ai été très bien accueillie par la gérante qui a été souriante, à l'écoute et agréable. Les informations données sont très claires et transparentes. Il est sûre que nous apporterons nos voitures dans ce garage si nous devons effectuer des réparations. Je le conseille très vivement !!","5 months ago",1524472822
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","Je viens d’appeler à l'instant pour un renseignant pour une lecture de défaut pour une SMART. Accueil Parfait et tarif compétitif.","a month ago",1534853589
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","Venant de Paris, on nous a conseillé ce garage de la Croix-Rousse pour changer des pneus et refaire l'équilibrage de l'ensemble des roues. Et chose rare, nous sommes tombés sur une équipe super accueillante, compétente, professionnelle. Chapeau !","6 months ago",1522949549
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","Super bon accueil, le travail est bien fait, le garagiste explique bien tout en détail. Allez-y","3 months ago",1528662328
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","Tout simplement parfait. Garage familial idéalement situé. L'équipe est très pro, souriante et arrangeante ! Les tarifs sont raisonnables et transparents : ils prennent le temps de vous détailler le tarif de chaque pièce et le temps de montage pour chaque, et si besoin, ils n'hésitent pas à monter votre voiture sur le pont avant le devis, histoire de ne pas vous changer des pièces inutilement :)\nBref, allez-y en toute confiance !","9 months ago",1515093895
"ChIJM955r_3q9EcRVm5m2Q35YTw",5,"en","Top!","a year ago",1486245442
"ChIJM955r_3q9EcRVm5m2Q35YTw",5,"fr","C'est Excellence ce garage !  bon accueil, à l'écoute des clients, sympathiques, serviables, bon état d'esprit, ils sont passionnés de moto et efficaces dans la prise en charge et les réparations...Bon rapport qualité prix. Simplement génial  de trouver un service qualitatif et des personnes avec qui vous pouvez avoir une totale confiance .","a week ago",1537389918
"ChIJM955r_3q9EcRVm5m2Q35YTw",5,"fr","Accueil  au top. \nLes deux mécano prennent le temps d expliquer d ou provient la panne. \nAucune surprise sur la note . \nBref parfait. \nMerci a vous les gars.","4 months ago",1525963657
"ChIJM955r_3q9EcRVm5m2Q35YTw",5,"fr","Bon accueil, sympa, pas prise de tête. Répare tout, même le brêlon des années 70 qui someillait au fond du garage. Merci à vous !","3 months ago",1529738849
"ChIJM955r_3q9EcRVm5m2Q35YTw",5,"fr","Accueil sympa et diagnostique nickel. Je recommande !","2 months ago",1533027181
"ChIJad86zjrA9EcR9Ck5uo4Q8Ss",5,"fr","Impeccable pour changer une pièce soit même. Si un coup de main est nécessaire il y a quelqu'un dans le garage.","a month ago",1533374295
"ChIJad86zjrA9EcR9Ck5uo4Q8Ss",1,"fr","Difficilement trouvable, et le mecano turque est un escroc au niveau de l heure ça chiffre vite. Donc faite gaffe c'est un garage que je déconseille absolument à quiconque.","2 months ago",1531411854
"ChIJad86zjrA9EcR9Ck5uo4Q8Ss",1,"fr","je vous déconseille absolument , mieux vaut payer un peut plus chère que d'y laisser votre vie ,  mécano très dangereux  oublie de serré les écrous , en plus un véritable escroc , si je pouvais mettre 0 étoile , je l'aurai fait mais il ne propose pas","4 months ago",1527273351
"ChIJad86zjrA9EcR9Ck5uo4Q8Ss",1,"fr","Bof, pas aimable, pas pro, prix plus cher au final. Si vous avez besoin d'un pont et d'outils sinon n'y mettez pas une roue","3 months ago",1530259918
"ChIJad86zjrA9EcR9Ck5uo4Q8Ss",5,"fr","Garage avec des membres aux conseils avisés pour un prix bas avec une ambiance type atelier associatif. Evitez de vous arrêter en face des sorties de garage de l'autre côté de la rue. Attention, propriétaire méchant...","6 months ago",1520700280
"ChIJoYBrKXjr9EcR_IiRWJ2FONg",5,"fr","Super","a year ago",1497009842
"ChIJoYBrKXjr9EcR_IiRWJ2FONg",5,"fr","Super école dans ce domaine !!","4 years ago",1392695639
"ChIJoYBrKXjr9EcR_IiRWJ2FONg",5,,"","2 months ago",1533135249
"ChIJRT-4HoHq9EcR45ToshHpA10",1,"fr","Moins cher que d'autres garages, sans doute, mais très difficile joindre le proprietaire pour avoir la diagnostic. En plus il faut dire que ma voiture s'est cassée à nouveau au meme endroit après avoir fait meme pas 10km, pourtant, je suis desolé mais une etoile sur cinq c'est déjà beaucoup selon moi.","a year ago",1481824614
"ChIJRT-4HoHq9EcR45ToshHpA10",1,"fr","De loin le pire accueil tout commerce que j'ai connu, aucun Bonjour, aucun sourire, aucune recherche de solution. (Stagiaires ou apprentis ?)\nJ'avais pris rendez-vous, la seule chose qu'on m'ait répondu en arrivant a été que le patron n'était pas là et que je devais essayer de repasser plus tard.\n\nRésultat : Je ne vous donnerai pas mon avis sur les prix, puisque ce garage n'a pas souhaité s'occuper de mon véhicule.","2 years ago",1467185123
"ChIJRT-4HoHq9EcR45ToshHpA10",4,"fr","C'est un très bon garagiste et surtout très honnête","a year ago",1498560800
"ChIJRT-4HoHq9EcR45ToshHpA10",5,"fr","Très bon garage grosse connaissance mécanique bon accueil et les prix très intéressant ","2 years ago",1460386894
"ChIJRT-4HoHq9EcR45ToshHpA10",5,"fr","5 étoile pour l'accueil sympathique, les compétences et les prix.","2 years ago",1451551149
"ChIJsZYEUSnA9EcRo3hsxFu9xsw",5,"fr","Client depuis 2012 !!!\nVous y venez pour une réparation, et vous repartez avec la banane !\nSuper service, facture douce comparée a certains qui ""changent pour changer"" (ici, on change s'il y a besoin, ""faites encore 10.000 km, vous repassez et on regarde..."").\nEt en plus, on est super bien accueilli, le sourire et l'humour en bonus !\nSuper adresse, on a du local, de l'artisanal, du familial, et on a la qualité de service qui va avec, c'est toujours très plaisant !\nRecommandé +++++","3 months ago",1528815038
"ChIJsZYEUSnA9EcRo3hsxFu9xsw",5,"fr","Personnels très accueillants et professionnels. Ne connaissant pas grand chose à la mécanique, je suis reparti de là bas avec de très bons conseils pour m'aider à mieux entretenir mon véhicule et avec du bon matériels (pneus pour ma part). Le service est au top et on y repart avec le sourire. Je sais que je peux compter sur eux en cas de pépins !","2 months ago",1531408587
"ChIJsZYEUSnA9EcRo3hsxFu9xsw",5,"fr","Un service au top ! Très réactif et professionnel. Nous avions crevé un vendredi soir à 18h et avant leur fermeture ils nous ont changé les deux pneus avant ! Une gentillesse hors norme, ils nous ont très bien accueillis, tout expliqué. \nJe recommande fortement et j'y retournerai avec plaisir !","5 months ago",1525453042
"ChIJsZYEUSnA9EcRo3hsxFu9xsw",5,"fr","Très bon accueil, une équipe dynamique et très professionnelle !\nTarifs très corrects.\nJe recommande ce garage sans hésiter et j'y retournerai avec plaisir.","2 months ago",1532091930
