"place_id","rating","language","text","relative_time_description","time"
"ChIJ1S_owmrA9EcRDrtQ23aRCqU",1,"fr","Catastrophique. Ma chaudière est en panne depuis le samedi 28 avril 2018 et nous sommes le 8 mai 2018. J'appelle Confogaz tous les jours depuis dix jours. Tous les jours on me dit oui on s'en occupe mais depuis dix jours je n'ai eu aucune intervention. Hier j'avais rendez-vous entre midi et 17:30 mais le technicien n'est pas venu. Aujourd'hui je téléphone encore et la dame me crie dessus car aujourd'hui c'est férié. Je n'y peux rien que ce soit férié, j'appelle tous les jours depuis dix jours. Ce n'est pas de ma faute si les techniciens des jours ouvrés n'ont pas fait leur travail. Dix jours d'attente pour avoir une intervention c'est inouï !! Et encore ils ne sont pas encore intervenus. Je viens de téléphoner et la dame va les relancer. Cela fait dix jours que les employés téléphoniques relancent les techniciens. Mais que font les techniciens ?","4 months ago",1525791380
"ChIJ1S_owmrA9EcRDrtQ23aRCqU",1,"fr","Rdv fixé le mardi = personne n'est venu. L'après-midi j'ai la personne d'astreinte au tel .... J'appelle le mercredi ; on me dit que qq1 est passé le matin ! Bizarre, j'étais présente chez moi  : personne n'est venu ; Confogaz me dit que j'aurais dû être prévenue de ce rdv. Que nenni. Bref entre le mail envoyé par le bailleur et le rdv que l'on me propose, il faut compter  14 jours pour une hypothétique intervention !!!! Je ne sais pas pourquoi le bailleur a changé de société ; la précédente était hyper compétente ? pro et réactive. Je savais que via Confogaz, c'était très folklorique et bien j'en fais les frais. Bizarrement la standardiste me conseille de me mettre en contact avec mon bailleur. Qd la particulier appelle , pas de rdv proche possible mais le tout puissant bailleur pourra m'obtenir un rdv plus vite. On marche sur la tête ! Et qd on lit les posts de Confogaz, ils ont réponse à tout !!!!!","a month ago",1533744520
"ChIJ1S_owmrA9EcRDrtQ23aRCqU",5,"fr","Client depuis 20 ans \nJe suis très satisfait de cette société \nJ'ai toujours été dépanné ... même parfois gratuitement alors que j'aurais dû payer certaines interventions","2 weeks ago",1536768260
"ChIJP06ITMDs9EcRTT1wljONrjQ",1,"fr","les pros de l'analyse de fibres ne sont pas bons et de mauvaise foi. Comment ont t-ils pu établir un rapport inexact, incomplet au profit de celui qui les a payé (le pressing et son sous traitant). Un tapis dont la soie est brûlée  par les produits utilisés n'est pas analysé à la loupe mais en ponctionnant des fibres pour avoir un travail d'analyse complet. Le beau rapport de cette compagnie CTTN a été lu par la Dc B.... qui a l'habitude de travailler pour la police scientifique et les experts désignés par le tribunal notamment de Versailles. Son mémo pointe du doigt l'inefficacité  d'un examen à la loupe et on constate un rapport ou on dénombre une bonne quantité de ''copié '' collé''. Je pensait cette société professionnelle \net compétente. L'expert de NICE Mr W.... tout comme moi sommes convaincu du contraire...à éviter donc!","6 months ago",1522754862
"ChIJXdbbXw3r9EcRjSdQRhOa2DY",4,"fr","Il font du bon travail ","a year ago",1488727348
"ChIJXdbbXw3r9EcRjSdQRhOa2DY",5,,"","5 months ago",1525081975
"ChIJXdbbXw3r9EcRjSdQRhOa2DY",5,,"","11 months ago",1508426299
"ChIJayme-2Tr9EcRh1vDz5-IGes",1,"fr","Service plus que médiocre, 3 jours que j'essaye de les appeler pour un pro blème de chauffage le répondeur me dit qu'ils sont injoignable, de plus j'ai patienter 20 mn et on m'as raccroché insupportable à bannir !!! obligé de mettre une étoile pour publier mais en vrai 00000","7 months ago",1520000712
"ChIJayme-2Tr9EcRh1vDz5-IGes",1,"fr","Une honte en tous 6 techniciens sont venus chez moi et a se jour la panne persiste histoire dure depuis 7 mois du coup je passe pour la 4 fois plusieurs jours sans eau chaude mai rien a faire c'est le bailleur qui les a embauche c'est bras cassé je parle pas d'une des standistes qui a réponse a tous par contre une très agréable bref une honte","6 months ago",1521774165
"ChIJayme-2Tr9EcRh1vDz5-IGes",1,"fr","Des attentes interminables au téléphone, plusieurs rdv annulés au dernier moment. Zéro étoiles!","6 months ago",1522074411
"ChIJayme-2Tr9EcRh1vDz5-IGes",1,"fr","Aucune etoile ou 3 étoiles noires et pour cause :\nUne attente interminable programmée de 9 mn mais qui dure plus de 18 mn après avoir raccroché sans avoir eu quelqu'un. \nDeuxième rappel 15 mn d'attente, une opératrice odieuse qui met court à l'entretien. Les plateformes téléphoniques hors territoires sont plus accueillantes et défavorables malgré un français déplorables !!!!!\nAujourd'hui lundi 10 décembre 3 appels de plus 19 mn en vain sans interlocuteur au téléphone !!!!!","9 months ago",1512987412
"ChIJayme-2Tr9EcRh1vDz5-IGes",1,"fr","Accueil téléphonique pitoyable .\nDe l'attente de l'attente et encore de l'attente pour se faire raccroché au nez au final.\nVous en êtes en 4 position, délai estimé à 9minutes puis au bout de 20 minutes le service raccroche. J'en ai vu des SAV mais là y'a du niveau .","9 months ago",1513975533
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","J'ai connu ce garage car nous devions refaire nos cartes grises (2 voitures). Lors de mes premiers contacts téléphoniques, très bon accueil, professionnelle, et précise, en prenant le temps de bien m'expliquer (concernant les renseignements et les différents documents à apporter pour les changements de carte grises). Ensuite, lorsque je me suis déplacée pour déposer les documents, j'ai été très bien accueillie par la gérante qui a été souriante, à l'écoute et agréable. Les informations données sont très claires et transparentes. Il est sûre que nous apporterons nos voitures dans ce garage si nous devons effectuer des réparations. Je le conseille très vivement !!","5 months ago",1524472822
